# table=SPEC
# title=Car Spec
# rows=238
Code,PS,Nm,cc,W,H,WB,Track F/R
tcegn,255,310,1998,1750,1305,2535,1510/1480
tmr2n,245,310,1998,1695,1235,2400,1470/1450
tspnn,280,440,2997,1810,1275,2550,1520/1525
ttron,130,152,1587,1625,1335,2400,1355/1345
nr34n,280,375,2568,1780,1360,2720,1480/1490
ns23n,205,280,1998,1690,1290,2475,1465/1460
npron,150,190,1998,1695,1385,2550,1470/1460
n18nn,205,280,1998,1695,1290,2475,1465/1460
mgnon,280,435,2972,1840,1285,2470,1560/1580
mfton,200,204,1998,1735,1300,2500,1490/1485
mlnnn,280,360,1997,1690,1415,2510,1470/1470
mmgrn,175,170,1597,1680,1370,2415,1450/1460
hnsbn,280,310,3179,1810,1160,2530,1510/1530
hprvn,200,223,2156,1765,1290,2550,1525/1515
hinrn,200,185,1797,1695,1355,2620,1480/1470
hcvon,170,160,1595,1695,1350,2570,1475/1465
altsn,170,183,1995,1695,1355,2605,1465/1465
amian,130,160,1839,1675,1235,2265,1405/1420
afd7n,265,300,654,1760,1230,2425,1460/1460
afc7n,215,280,654,1690,1270,2430,1450/1440
slgbn,280,345,1994,1695,1405,2630,1470/1460
slgan,280,345,1994,1695,1490,2630,1465/1455
sipbn,280,350,1994,1690,1405,2520,1470/1460
sipdn,280,350,1994,1690,1440,2520,1470/1460
tcegr,255,310,1998,1750,1305,2535,1510/1480
tsplr,280,440,2997,1810,1275,2550,1520/1525
nl33r,280,375,2568,1780,1360,2720,1480/1490
npror,150,190,1998,1695,1385,2550,1470/1460
mgnor,280,435,2972,1840,1285,2470,1560/1580
mlnnr,280,360,1997,1690,1415,2510,1470/1470
hnsxr,280,300,2977,1810,1170,2530,1510/1530
hprvr,200,223,2156,1765,1290,2550,1525/1515
afd7r,265,300,654,1760,1230,2425,1460/1460
afc7r,215,280,654,1690,1270,2430,1450/1440
altsr,150,190,1998,1695,1385,2550,1470/1460
slgar,280,345,1994,1695,1490,2630,1465/1455
sipbr,280,350,1994,1690,1405,2520,1470/1460
hdeln,130,141,1493,1695,1255,2370,1475/1465
ademn,100,130,1498,1670,1535,2390,1420/1400
tstln,135,160,1331,1625,1400,2300,1400/1395
tlevn,165,165,1587,1695,1305,2465,1460/1440
ttrnn,165,165,1587,1695,1305,2465,1460/1440
texvn,170,195,1998,1740,1325,2535,1510/1490
tceln,170,195,1998,1750,1305,2535,1510/1490
tm2vn,280,370,2491,1750,1390,2730,1485/1495
tm2sn,180,240,2491,1750,1390,2730,1485/1495
tchvn,280,385,2491,1755,1400,2730,1485/1490
tchsn,200,260,2491,1755,1400,2730,1485/1495
tsoon,280,370,2491,1790,1350,2690,1520/1520
tsoan,280,385,2491,1805,1350,2690,1520/1520
tmrln,180,195,1998,1695,1235,2400,1470/1450
tsorn,225,290,2997,1810,1275,2550,1520/1525
tsonn,280,440,2997,1810,1275,2550,1520/1525
tsprn,225,290,2997,1810,1275,2550,1520/1525
tspon,280,370,2491,1745,1300,2595,1470/1475
tlvon,130,152,1587,1625,1335,2400,1355/1345
nzxvn,230,278,2960,1800,1255,2450,1495/1535
nzx2n,280,396,2960,1800,1255,2450,1495/1535
nzx3n,230,278,2960,1790,1255,2570,1495/1535
nzxsn,280,396,2960,1790,1255,2570,1495/1535
nr32n,280,360,2568,1755,1340,2615,1480/1480
nm32n,215,270,1998,1695,1325,2615,1460/1460
ns32n,155,188,1998,1695,1325,2615,1460/1470
ns33n,190,235,2498,1720,1340,2720,1480/1470
nm33n,250,300,2498,1720,1340,2720,1480/1490
nr33n,280,375,2568,1780,1360,2720,1480/1490
nv34n,280,375,2568,1780,1360,2720,1480/1490
nl33n,305,380,2568,1880,1300,2720,1550/1580
nq15n,160,192,1998,1730,1295,2525,1480/1470
ns15n,220,280,1998,1730,1295,2525,1480/1470
nq14n,160,192,1998,1730,1295,2525,1480/1470
ns14n,220,280,1998,1730,1295,2525,1480/1470
nq23n,140,182,1998,1690,1290,2475,1465/1460
nq13n,135,162,1809,1690,1290,2475,1465/1460
ns13n,175,230,1809,1690,1290,2475,1465/1460
nprin,150,190,1998,1695,1400,2600,1465/1455
n180n,205,280,1998,1690,1290,2475,1465/1460
n18sn,140,182,1998,1690,1290,2475,1465/1460
nplon,230,290,1998,1690,1400,2430,1440/1415
mgoon,225,280,2972,1840,1285,2470,1560/1580
mgotn,280,435,2972,1840,1285,2470,1560/1580
mgton,225,280,2972,1840,1285,2470,1560/1580
mgttn,280,435,2972,1840,1285,2470,1560/1580
mgtmn,280,435,2972,1840,1285,2470,1560/1580
mgntn,225,280,2972,1840,1285,2470,1560/1580
mgagn,150,182,1834,1740,1420,2635,1510/1505
mgaln,280,370,2498,1740,1420,2635,1510/1505
mecln,230,295,1997,1745,1295,2510,1515/1505
mftrn,170,190,1998,1735,1300,2500,1475/1470
mftnn,200,204,1998,1735,1300,2500,1490/1485
mlnon,270,315,1997,1695,1420,2510,1465/1470
mlnnn,280,360,1997,1690,1415,2510,1470/1470
